gameId,homeTeamId,homeTeamName ,awayTeamId,awayTeamName,homeTeamScore,awayTeamScore
401550421,,Wisconsin-River Falls Falcons,,Wisconsin-Platteville Pioneers,27,16
401520266,2509,Purdue Boilermakers,275,Wisconsin Badgers,17,38
401525511,276,Marshall Thundering Herd,259,Virginia Tech Hokies,24,17
401525850,277,West Virginia Mountaineers,2641,Texas Tech Red Raiders,20,13
401532407,278,Fresno State Bulldogs,2309,Kent State Golden Flashes,53,10
401540300,,Murray State Racers,,Indiana State Sycamores,30,28
401540040,,Fordham Rams,,Stonehill Skyhawks,44,0
401550362,,NC Wesleyan Battling Bishops,,Belhaven University Blazers,14,35
401531871,2050,Ball State Cardinals,290,Georgia Southern Eagles,3,40
401549805,,Methodist Monarchs,,Southern Virginia Knights,27,21
401549625,,St. Lawrence Saints,,Castleton Spartans,28,0
401531873,,Old Dominion Monarchs,,Texas A&M-Commerce Lions,10,9
401550318,,Hampden-Sydney Tigers,,Bridgewater College (VA) Eagles,38,39
401540467,,San Diego Toreros,,Dayton Flyers,40,25
401540237,,UC Davis Aggies,,Eastern Washington Eagles,24,27
401540252,,Idaho State Bengals,,Northern Colorado Bears,35,21
401547215,,Carroll (WI) Pioneers,,Illinois Wesleyan Titans,70,23
401540972,,Tiffin Dragons,,Ashland Eagles,55,30
401531875,309,Louisiana Ragin' Cajuns,2084,Buffalo Bulls,45,38
401540489,,William & Mary Tribe,,Maine Black Bears,28,3
401544098,,Marietta Pioneers,,Otterbein Cardinals,50,0
401541777,,East Central Tigers,,Oklahoma Baptist Bison,15,23
401540073,,Lafayette Leopards,,Monmouth Hawks,28,20
401541056,,Moravian Greyhounds,,SUNY Morrisville Mustangs,19,20
401531849,324,Coastal Carolina Chanticleers,2247,Georgia State Panthers,17,30
